"lon","lat","source","color","data_evento","data_fine_traiettoria","meteo","recettore","data_inizio_traiettoria","uid","geometry"
10.316178,43.583814000000004,"Depositi Neri","#00ffff","2019-08-30 00:00:00","2019-08-29 23:00:00","ispra","R1","2019-08-29 21:00:00",0,"POLYGON ((10.3179692786195 43.58256517012315, 10.31793181327677 43.58253502522983, 10.31775146442441 43.5824158223934, 10.31769859468913 43.58238722772393, 10.31708529927573 43.58277643514878, 10.31751794454535 43.58229346731569, 10.31734718954487 43.58221883067566, 10.31724100350162 43.58218220590955, 10.3162047099953 43.58329511615954, 10.3137306336011 43.58409431708341, 10.31374539110387 43.58416686834521, 10.31380453292185 43.58433905051324, 10.31381532100433 43.58436103800053, 10.31581168478268 43.58371719907812, 10.31548714873569 43.58406572919142, 10.31579475302983 43.58421708957785, 10.31641761144587 43.58352178420728, 10.3164842314221 43.58350029887771, 10.3179692786195 43.58256517012315))"
10.316142,43.582406,"SAI","#ff00ff","2019-08-30 00:00:00","2019-08-29 23:00:00","ispra","R1","2019-08-29 21:00:00",0,"POLYGON ((10.31859815443682 43.58216916933554, 10.31857455200314 43.58205313165479, 10.31851541156834 43.58188094948676, 10.31851088922566 43.58187173216033, 10.31708529927573 43.58277643514878, 10.31773565536914 43.58205043374479, 10.31849021009255 43.58182958446527, 10.3184334138827 43.58171382384219, 10.31834691696031 43.58158045307829, 10.31759694116992 43.58179995254503, 10.3162047099953 43.58329511615954, 10.31459109840819 43.58381636112765, 10.31476406997778 43.58390991522836, 10.31495514826161 43.58399343708479, 10.31581168478268 43.58371719907812, 10.31548714873569 43.58406572919142, 10.31573660616566 43.58418847771515, 10.31581298240682 43.58419673987493, 10.31641761144587 43.58352178420728, 10.3164842314221 43.58350029887771, 10.31859815443682 43.58216916933554))"
10.321359,43.581684,"Costiero gas","#ff0000","2020-04-24 20:00:00","2020-04-24 21:20:00","eni","R20","2020-04-24 19:20:00",8,"POLYGON ((10.31900513531388 43.58224883294724, 10.31906761359693 43.58237617615781, 10.31917167760287 43.58253663576759, 10.31924542803706 43.58262637008123, 10.32174224849636 43.58346887283625, 10.321842858875 43.5834579889674, 10.32207895789394 43.58341485957953, 10.32229231242663 43.58335918676931, 10.31900513531388 43.58224883294724))"
10.3201203983695,43.58611844865335,"Costieri D’Alesio","#00ff00","2020-04-24 20:00:00","2020-04-24 21:20:00","eni","R20","2020-04-24 19:20:00",8,"POLYGON ((10.32608808676622 43.58488141903526, 10.32606156684582 43.58480421338368, 10.32594732324924 43.58457137928409, 10.32577504890491 43.58453559729641, 10.31793268219955 43.58188657610083, 10.31774450651932 43.58193567511519, 10.31747449188202 43.5820288026494, 10.32567297872801 43.5847952201261, 10.32608808676622 43.58488141903526))"
10.338633999999999,43.587334000000006,"Raffineria ENI","#ffff00","2020-04-24 20:00:00","2020-04-24 21:20:00","eni","R20","2020-04-24 19:20:00",8,"POLYGON ((10.3267554964313 43.5847392396986, 10.32666547231075 43.58500131554296, 10.33342612238494 43.58640519262541, 10.34054870363975 43.58818143515803, 10.3472229 43.589748, 10.3406814333846 43.5879292427035, 10.33354669356641 43.58614979524707, 10.3267554964313 43.5847392396986))"
10.316142,43.582406,"SAI","#ff00ff","2020-04-24 20:00:00","2020-04-24 21:20:00","eni","R20","2020-04-24 19:20:00",8,"POLYGON ((10.31862220851428 43.582406, 10.31861026563237 43.58222871213788, 10.31858552868519 43.58210709679858, 10.31551675717604 43.58107051676126, 10.31480691580149 43.5808833565171, 10.31476406997778 43.58090208477164, 10.31456857237521 43.5810078223934, 10.31446156290917 43.58107855270327, 10.31536021640679 43.58131538214449, 10.31862154477367 43.58241585299488, 10.31862220851428 43.582406))"
10.321359,43.581684,"Costiero gas","#ff0000","2020-04-24 20:00:00","2020-04-24 21:10:00","eni","R20","2020-04-24 19:10:00",7,"POLYGON ((10.31893663895752 43.58206645385221, 10.31898561689464 43.58220905051324, 10.31906761359693 43.58237617615781, 10.31907645977077 43.58238981635539, 10.32190167828106 43.58313434658687, 10.32243060088886 43.58331281567737, 10.32252814817918 43.58327916932434, 10.32273691349748 43.58318791522836, 10.32281566072468 43.5831453231747, 10.32205822379144 43.58288948129135, 10.31893663895752 43.58206645385221))"
10.3201203983695,43.58611844865335,"Costieri D’Alesio","#00ff00","2020-04-24 20:00:00","2020-04-24 21:10:00","eni","R20","2020-04-24 19:10:00",7,"POLYGON ((10.32590501480338 43.58448515257913, 10.32585630869694 43.58438588712551, 10.32567897762958 43.58411247483765, 10.32205822379144 43.58288948129135, 10.31809437861717 43.58184438608604, 10.31774450651932 43.58193567511519, 10.31757500187392 43.5819941369446, 10.32190167828106 43.58313434658687, 10.32590501480338 43.58448515257913))"
10.338633999999999,43.587334000000006,"Raffineria ENI","#ffff00","2020-04-24 20:00:00","2020-04-24 21:10:00","eni","R20","2020-04-24 19:10:00",7,"POLYGON ((10.32686240860246 43.58451220608342, 10.32676597064852 43.58470874743381, 10.32674537438043 43.58476870674601, 10.33221444224949 43.58661407987624, 10.33996758534644 43.58822400360225, 10.3472229 43.589748, 10.34008816018181 43.58796860631134, 10.33231651552031 43.58635445713377, 10.32686240860246 43.58451220608342))"
10.316142,43.582406,"SAI","#ff00ff","2020-04-24 20:00:00","2020-04-24 21:10:00","eni","R20","2020-04-24 19:10:00",7,"POLYGON ((10.31861288875184 43.58226765141956, 10.31861026563237 43.58222871213788, 10.31857455200314 43.58205313165479, 10.31854352778351 43.58196280737133, 10.31468421823534 43.58094527370709, 10.31456857237521 43.5810078223934, 10.31438822774079 43.58112702522983, 10.31436266904986 43.58114759042355, 10.31861288875184 43.58226765141956))"
