recettore,Orario maleodoranza,Maleodoranza,Date,data_inizio,data_fine,Latitude,Longitude
R1,20:17:00,forte odore di idrocarburi,2019-11-30 00:00:00,2019-11-30 20:17:00,,43.59087795,10.29880415
R18,20:03:00,forti maleodoranze,2019-11-30 00:00:00,2019-11-30 20:03:00,,43.5874994,10.2995666
R1,17:16:00,forte odore di idrocarburi,2019-12-06 00:00:00,2019-12-06 17:16:00,,43.59087795,10.29880415
R1,10:19:00,forte odore di idrocarburi,2019-12-10 00:00:00,2019-12-10 10:19:00,,43.59087795,10.29880415
R1,09:55:00,forte odore di idrocarburi,2019-12-19 00:00:00,2019-12-19 09:55:00,,43.59087795,10.29880415
R1,18:03:00,forte odore di idrocarburi,2019-12-28 00:00:00,2019-12-28 18:03:00,,43.59087795,10.29880415
R1,18:01:00,Idrocarburi,2020-01-03 00:00:00,2020-01-03 18:01:00,,43.59087795,10.29880415
R6,18:57:00,idrocabruri molto forti,2020-01-04 00:00:00,2020-01-04 18:57:00,,43.5874994,10.2995666
R11,19:03:00,Idrocabruri e gas,2020-01-07 00:00:00,2020-01-07 19:03:00,,43.5994768,10.29433235
R11,22:45:00,Idrocabruri e gas,2020-01-08 00:00:00,2020-01-08 22:45:00,,43.5994768,10.29433235
R6,22:04:00,idrocabruri molto forti,2020-01-08 00:00:00,2020-01-08 22:04:00,,43.5874994,10.2995666
R19,22:04:00,idrocabruri molto forti,2020-01-08 00:00:00,2020-01-08 22:04:00,,43.5874994,10.2995666
R1,20:43:00,aria irrespirabile,2020-01-09 00:00:00,2020-01-09 20:43:00,,43.59087795,10.29880415
R11,20:03:00,Idrocabruri e gas,2020-01-09 00:00:00,2020-01-09 20:03:00,,43.5994768,10.29433235
R11,18:20:00-19:04:00,idrocarburi,2020-01-11 00:00:00,2020-01-11 18:20:00,2020-01-11 19:04:00,43.5994768,10.29433235
R11,20:00:00-21:15:00,idrocarburi,2020-01-12 00:00:00,2020-01-12 20:00:00,2020-01-12 21:15:00,43.5994768,10.29433235
R5,21:00:00,Idrocarburi e gas,2020-01-15 00:00:00,2020-01-15 21:00:00,,43.5887394,10.2991247
R1,02:42:00,idrocabruri molto forti,2020-01-17 00:00:00,2020-01-17 02:42:00,,43.59087795,10.29880415
R18,09:03:00,aria irrespirabile,2020-02-01 00:00:00,2020-02-01 09:03:00,,43.5874994,10.2995666
R1,08:04:00,aria irrespirabile,2020-02-01 00:00:00,2020-02-01 08:04:00,,43.59087795,10.29880415
R1,09:45:00,maleodoranze che provocano malessere,2020-02-02 00:00:00,2020-02-02 09:45:00,,43.59087795,10.29880415
R11,09:00:00-09:30:00,maleodoranze che provocano malessere ,2020-02-02 00:00:00,2020-02-02 09:00:00,2020-02-02 09:30:00,43.5994768,10.29433235
R11,21:50:00-23:30:00,idrocabruri,2020-02-03 00:00:00,2020-02-03 21:50:00,2020-02-03 23:30:00,43.5994768,10.29433235
R11,20:30:00-23:45:00,idrocabruri,2020-02-20 00:00:00,2020-02-20 20:30:00,2020-02-20 23:45:00,43.5994768,10.29433235
R11,23:30:00-01:00:00,idrocabruri,2020-02-21 00:00:00,2020-02-21 23:30:00,2020-02-22 01:00:00,43.5994768,10.29433235
R20,20:00:00-23:59:00,forte odore di idrocarburi che si presentava ad intermittenza ma con intensità molto elevata,2020-04-24 23:00:00,2020-04-24 20:00:00,2020-04-24 23:59:00,43.589748,10.3472229
