"data_evento","end","geometry","meteo","recettore","start","uid"
"2019-07-02 00:00:00","2019-07-01 23:45:00","POLYGON ((10.34170164052681 43.55377825052129, 10.34031324676797 43.55895451843228, 10.33884848981253 43.56291580761369, 10.33507863049863 43.56512786063815, 10.32863537265119 43.56553632016337, 10.32340275586684 43.56829093132384, 10.31757315702695 43.57532019747409, 10.30689188897087 43.58158617942627, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.30665862645885 43.58137604930208, 10.3173399100438 43.57511007219902, 10.32308473625315 43.56815150860884, 10.32841760216272 43.5653176097844, 10.33504636562489 43.56485886396582, 10.33861530294483 43.56270567469, 10.33995468652123 43.55888440364855, 10.34133724366471 43.55372655452246, 10.34170164052681 43.55377825052129))","lamma","R9","2019-07-01 21:45:00",3
"2019-07-02 00:00:00","2019-07-02 00:00:00","POLYGON ((10.34848127528144 43.55416114309782, 10.34701651832601 43.55812274741443, 10.3432466590121 43.56033497642586, 10.33680340116466 43.5607434684482, 10.33157078438032 43.56349829877222, 10.32574118554042 43.57052812423818, 10.31505991748434 43.57679460483271, 10.30940512851347 43.58011188939575, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.30917186733531 43.57990176177375, 10.31482667354933 43.57658447448475, 10.32550795713168 43.57031799873889, 10.33125279002649 43.5633588758819, 10.3365856480205 43.56052475784257, 10.34321439671528 43.56006597952592, 10.34678335002262 43.55791261426707, 10.34812274346917 43.55409102821826, 10.34848127528144 43.55416114309782))","lamma","R9","2019-07-01 22:00:00",4
"2019-07-02 00:00:00","2019-07-02 00:15:00","POLYGON ((10.35681886291986 43.55402138807334, 10.35304900360595 43.55623376766226, 10.34660574575852 43.55664228748967, 10.34137312897417 43.5593973053338, 10.33554353013427 43.56642760935992, 10.32486226207819 43.57269451660142, 10.31920747310733 43.57601202703828, 10.31103944459386 43.58080366390701, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.31085420239753 43.58056962407701, 10.31897422782408 43.57580189922464, 10.32462903403564 43.572484386062, 10.33531031761574 43.56621748366875, 10.34105515622993 43.55925788229344, 10.34638800745224 43.55642357669007, 10.35301674351367 43.55596477056757, 10.3565857104981 43.55381125473462, 10.35681886291986 43.55402138807334))","lamma","R9","2019-07-01 22:15:00",5
"2019-07-02 00:00:00","2019-07-02 00:30:00","POLYGON ((10.36249558862603 43.55289469428808, 10.3560523307786 43.55330323675195, 10.35081971399425 43.55605840725854, 10.34499011515435 43.56308910088647, 10.33430884709827 43.56935635546665, 10.3286540581274 43.57267404979022, 10.32048602961393 43.57746595227496, 10.31068368502007 43.58156571563711, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.31052130406593 43.58132286824301, 10.32030079770532 43.57723191228458, 10.32842082578282 43.57246392182054, 10.33407563199236 43.56914622477134, 10.34475691557066 43.56287897503908, 10.35050175884047 43.55591898409603, 10.35583460455054 43.55308452579444, 10.36246333032827 43.55262569703482, 10.36249558862603 43.55289469428808))","lamma","R9","2019-07-01 22:30:00",6
"2019-07-02 00:00:00","2019-07-02 00:45:00","POLYGON ((10.36140338564223 43.55196788861306, 10.35617076885789 43.55472312016958, 10.35034117001799 43.5617539695998, 10.33965990196191 43.56802136308115, 10.33400511299105 43.57133913094125, 10.32583708447758 43.57613113964618, 10.31603473988372 43.58023099389358, 10.30658815486364 43.58356855224825, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.3064675936596 43.58331315366603, 10.31587236253762 43.57998814643515, 10.32565185668272 43.57589709959166, 10.33377188582025 43.57112900290919, 10.33942669202898 43.56781123232351, 10.35010797560655 43.56154384368995, 10.35585282073802 43.55458369695823, 10.3611856642439 43.5517491775924, 10.36140338564223 43.55196788861306))","lamma","R9","2019-07-01 22:45:00",7
"2019-07-02 00:00:00","2019-07-02 01:00:00","POLYGON ((10.36340726203179 43.5541719082947, 10.3575776631919 43.56120282203963, 10.34689639513582 43.56747027285899, 10.34124160616495 43.57078807107475, 10.33307357765148 43.57558012362705, 10.32327123305762 43.57968001539158, 10.31382464803755 43.58301760428983, 10.30847359317391 43.58435226425609, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.30843488521761 43.58408371736163, 10.31370408794002 43.58276220568113, 10.32310885720087 43.5794371679066, 10.33288835155471 43.57534608354604, 10.3410083811298 43.57057794301693, 10.34666318733821 43.56726014207562, 10.35734447091548 43.56099269610399, 10.3630893168154 43.55403248506317, 10.36340726203179 43.5541719082947))","lamma","R9","2019-07-01 23:00:00",8
"2019-07-02 00:00:00","2019-07-02 01:15:00","POLYGON ((10.36382514591008 43.55998975894514, 10.353143877854 43.56625733596201, 10.34748908888314 43.56957520098881, 10.33932106036967 43.5743673500466, 10.32951871577581 43.57846732438416, 10.32007213075574 43.58180498050701, 10.31472107589209 43.58313966735671, 10.30748458271819 43.58369061419804, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.30738874786324 43.5834297389007, 10.31468236871851 43.58287112040463, 10.3199515730935 43.58154958184005, 10.32935634319693 43.57822447684072, 10.33913583801019 43.57413330990732, 10.3472558685483 43.56936507287429, 10.35291067475598 43.566047205122, 10.36359195833259 43.55977963295274, 10.36382514591008 43.55998975894514))","lamma","R9","2019-07-01 23:15:00",9
"2019-07-02 00:00:00","2019-07-02 01:30:00","POLYGON ((10.36220129316763 43.56373805936975, 10.35654650419677 43.56705606315863, 10.3483784756833 43.57184841265201, 10.33857613108944 43.57594855848836, 10.32912954606937 43.57928635423234, 10.32377849120572 43.58062109691718, 10.31654199803182 43.58117206680716, 10.31029451531363 43.58238470333799, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.31016179367904 43.58213251191307, 10.31644616719876 43.58091119138919, 10.32373978565767 43.58035254984541, 10.32900899346475 43.57903095544437, 10.33841376531806 43.57570571082355, 10.34819326108545 43.57161437239169, 10.35631329362357 43.56684593492636, 10.36196809982973 43.56352792841208, 10.36220129316763 43.56373805936975))","lamma","R9","2019-07-01 23:30:00",10
"2019-07-02 00:00:00","2019-07-02 01:45:00","POLYGON ((10.36534284259589 43.56189464496255, 10.35717481408242 43.56668740509597, 10.34737246948857 43.57078790228849, 10.33792588446849 43.57412598407964, 10.33257482960485 43.57546084115606, 10.32533833643094 43.5760118582667, 10.31909085371276 43.57722459872772, 10.31003343839912 43.57974331124733, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.30980017755445 43.57953318425087, 10.31895814348388 43.57697240705436, 10.32524251383666 43.57575098260161, 10.33253612738665 43.57519229383907, 10.33780534222431 43.57387058504371, 10.34721011766218 43.57054505437493, 10.35698961538409 43.56645336458765, 10.3651096520192 43.56168451648901, 10.36534284259589 43.56189464496255))","lamma","R9","2019-07-01 23:45:00",11
"2019-07-02 00:00:00","2019-07-02 02:00:00","POLYGON ((10.36094467339633 43.56447540933888, 10.35114232880248 43.56857605711162, 10.3416957437824 43.57191426149362, 10.33634468891876 43.57324916759468, 10.32910819574485 43.57380020494261, 10.32286071302667 43.57501298994484, 10.31380329771303 43.57753179497421, 10.30500695931391 43.58269187325779, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.30477369580163 43.58248174125691, 10.31357004544261 43.57732166787436, 10.32272800768533 43.57476079816499, 10.32901237668101 43.57353932917161, 10.33630598812746 43.57298062017259, 10.34157520597783 43.57165886235145, 10.35097998295175 43.56833320909148, 10.36075948151121 43.56424136872428, 10.36094467339633 43.56447540933888))","lamma","R9","2019-07-02 00:00:00",12
"2019-07-02 00:00:00","2019-07-02 02:15:00","POLYGON ((10.35500811310598 43.56771971347317, 10.34556152808591 43.57105796531643, 10.34021047322227 43.57239289039745, 10.33297398004836 43.57294393558028, 10.32672649733018 43.57415673782674, 10.31766908201654 43.57667557867142, 10.30887274361742 43.58183573033222, 10.30510288430351 43.584047088522, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.3049946249379 43.5837887940957, 10.30863948342484 43.58162559829139, 10.31743583306548 43.57646545153153, 10.32659379388096 43.57390454600566, 10.33287816235126 43.57268305976827, 10.34017177298336 43.57212434293468, 10.34544099200006 43.5708025661331, 10.35484576956862 43.56747686541176, 10.35500811310598 43.56771971347317))","lamma","R9","2019-07-02 00:15:00",13
"2019-07-02 00:00:00","2019-07-02 02:30:00","POLYGON ((10.35310124671373 43.56663421357234, 10.34775019185009 43.56796923670196, 10.34051369867618 43.56852032235905, 10.334266215958 43.56973321368729, 10.32520880064436 43.57225223955022, 10.31641246224524 43.57741277027009, 10.31264260293133 43.57962429091481, 10.30877681862782 43.58048046528786, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.30854355711619 43.58027033704032, 10.31253435154231 43.57936599627639, 10.31617921920041 43.57720263802286, 10.32497556883932 43.57204211220352, 10.33413352228242 43.56948102165323, 10.34041788803895 43.5682594463352, 10.34771149446457 43.56770068902897, 10.35298071950581 43.56637881417647, 10.35310124671373 43.56663421357234))","lamma","R9","2019-07-02 00:30:00",14
"2019-07-02 00:00:00","2019-07-02 02:45:00","POLYGON ((10.35831717638266 43.56503015396241, 10.35108068320876 43.56558126650886, 10.34483320049057 43.56679421701919, 10.33577578517694 43.56931336580027, 10.32697944677781 43.57447414835061, 10.3232095874639 43.57668577692336, 10.31934380316039 43.57754199308112, 10.31180408453257 43.58196494365091, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.31167136067245 43.58171275308281, 10.31911055304148 43.57733186469627, 10.32310134137354 43.57642748214401, 10.32674621512382 43.57426401596626, 10.33554256476156 43.56910323831615, 10.34470051330739 43.56654202484363, 10.35098487726121 43.56532039034428, 10.35827848089258 43.56476160614977, 10.35831717638266 43.56503015396241))","lamma","R9","2019-07-02 00:45:00",15
"2019-07-02 00:00:00","2019-07-02 03:00:00","POLYGON ((10.36113364137919 43.55968232234147, 10.354886158661 43.56089539162587, 10.34582874334736 43.56341478709446, 10.33703240494824 43.56857607504977, 10.33326254563433 43.57078792022603, 10.32939676133082 43.57164422024267, 10.321857042703 43.57606760402263, 10.31129005817043 43.57900614818153, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.31105679799276 43.57879602243615, 10.32172433187826 43.5758154131705, 10.3291635340729 43.57143409158218, 10.33315431017641 43.57052962516386, 10.33679919615144 43.5683659423902, 10.34559554578686 43.56320465933454, 10.35475348450567 43.56064319916631, 10.36103784484212 43.55942144589439, 10.36113364137919 43.55968232234147))","lamma","R9","2019-07-02 01:00:00",16
"2019-07-02 00:00:00","2019-07-02 03:15:00","POLYGON ((10.35978733095792 43.55884484121079, 10.35072991564429 43.56136432242668, 10.34193357724516 43.56652578605813, 10.33816371793126 43.56873770652464, 10.33429793362775 43.56959403569018, 10.32675821499993 43.57401757005176, 10.31619123046735 43.57695621425184, 10.30613827229693 43.5828534668486, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.3059530332918 43.58261942313938, 10.31595797823736 43.57674608841057, 10.32662550870563 43.57376537910088, 10.33406471431514 43.56938390693389, 10.33805548616863 43.56847941136414, 10.34170037639236 43.56631565330289, 10.35049672602697 43.5611541945709, 10.3596546613304 43.5585926486525, 10.35978733095792 43.55884484121079))","lamma","R9","2019-07-02 01:15:00",17
"2019-07-02 00:00:00","2019-07-02 03:30:00","POLYGON ((10.3557563947295 43.55841471608768, 10.34696005633038 43.56357643241876, 10.34319019701647 43.56578846118583, 10.33932441271296 43.56664483228032, 10.33178469408514 43.57106858324455, 10.32121770955257 43.57400737134794, 10.31116475138214 43.57990491275231, 10.30626357908521 43.58195474629311, 10.3012371 43.5849032, 10.3012371 43.5849032, 10.30603031623978 43.58174461554334, 10.31097952146532 43.57967086890162, 10.32098446875388 43.57379724536872, 10.33165199430706 43.57081639215165, 10.33909120482827 43.56643470338621, 10.34308197056886 43.5655301658839, 10.34672686690359 43.56336629952589, 10.35552321653704 43.55820458809401, 10.3557563947295 43.55841471608768))","lamma","R9","2019-07-02 01:30:00",18
